,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.519,0,False
1,-O2,fast,-O2,0.519,0,False
2,eed782a3-6dfe-4c8b-9c25-040cabc21d1b,fast,"['-O0', '-fstrictness-before=1', '-fregs-graph', '-fliberate-case-threshold=2000', '-fstrictness', '-fomit-interface-pragmas', '-fsimplifier-phases=2', '-fstatic-argument-transformation', '-ffloat-in', '-fcross-module-specialise', '-fdmd-tx-dict-sel', '-funfolding-dict-discount=30', '-funbox-strict-fields', '-fregs-iterative', '-fexpose-all-unfoldings', '-fmax-inline-alloc-size=128', '-fmax-inline-memset-insns=32', '-foptimal-applicative-do', '-fspecialise']",0.523,0,False
3,064c1927-933b-4ecb-b1a1-61367ef5f15e,fast,"['-O0', '-floopification', '-funfolding-keeness-factor=1.5', '-fmax-worker-args=10', '-fmax-inline-memcpy-insns=32', '-funbox-small-strict-fields', '-fmax-simplifier-iterations=4', '-fdmd-tx-dict-sel', '-fspec-constr-threshold=2000', '-ffloat-in', '-fregs-iterative', '-fspecialise', '-fno-state-hack', '-fno-pre-inlining', '-fcmm-elim-common-blocks', '-fstrictness']",0.519,0,False
4,4735cfc8-2cea-492c-ad28-7cef5412936a,fast,"['-O0', '-fdo-lambda-eta-expansion', '-fno-pre-inlining', '-fomit-interface-pragmas', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-funfolding-dict-discount=30', '-fignore-asserts', '-funbox-small-strict-fields', '-fexpose-all-unfoldings', '-fdicts-cheap', '-fdicts-strict', '-fliberate-case-threshold=2000', '-fspec-constr-count=3', '-fcse', '-fexcess-precision', '-fregs-graph', '-fpedantic-bottoms', '-foptimal-applicative-do', '-funfolding-fun-discount=60', '-feager-blackholing', '-fstatic-argument-transformation', '-fspecialise', '-fworker-wrapper', '-fcross-module-specialise', '-ffull-laziness', '-fenable-rewrite-rules', '-fstrictness-before=1', '-fvectorise', '-fstrictness', '-fmax-inline-memcpy-insns=32', '-fmax-inline-alloc-size=128', '-fcpr-anal', '-fignore-interface-pragmas', '-fcmm-elim-common-blocks', '-fmax-simplifier-iterations=4', '-ffloat-in', '-floopification', '-flate-dmd-anal', '-fno-state-hack', '-fmax-relevant-binds=6']",0.521,0,False
5,eacaad54-6c5f-4103-8369-1921c9e69436,fast,"['-O0', '-fmax-simplifier-iterations=4', '-fcmm-sink', '-fno-state-hack', '-fsimplifier-phases=2', '-funfolding-keeness-factor=1.5', '-ffloat-in', '-fmax-inline-alloc-size=128', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-fignore-asserts', '-fliberate-case-threshold=2000', '-fliberate-case', '-fmax-inline-memcpy-insns=32', '-fexcess-precision', '-fmax-inline-memset-insns=32', '-fsimpl-tick-factor=100', '-fregs-iterative', '-funfolding-fun-discount=60', '-fomit-yields', '-fomit-interface-pragmas', '-fspec-constr-threshold=2000', '-fcpr-anal', '-funfolding-use-threshold=60', '-fstatic-argument-transformation', '-funbox-small-strict-fields', '-fno-opt-coercion', '-funbox-strict-fields', '-ffull-laziness', '-fvectorisation-avoidance', '-fspecialise', '-fstrictness-before=1', '-fno-pre-inlining']",0.519,0,False
6,a272d6b6-29d5-4096-a5ff-0199f591060c,fast,"['-O0', '-fsimplifier-phases=2', '-fcpr-anal', '-fignore-asserts', '-funfolding-creation-threshold=750', '-foptimal-applicative-do', '-fmax-simplifier-iterations=4', '-funbox-small-strict-fields', '-funfolding-fun-discount=60', '-fstrictness-before=1', '-fdicts-cheap', '-fmax-inline-alloc-size=128', '-fdmd-tx-dict-sel', '-funbox-strict-fields']",0.523,0,False
7,9a88fa98-48a2-4432-a6de-4de63ab67006,fast,"['-O0', '-fregs-iterative', '-ffull-laziness', '-fstrictness', '-floopification', '-fmax-inline-memcpy-insns=32', '-fcase-merge', '-fspecialise', '-fno-pre-inlining', '-foptimal-applicative-do', '-ffun-to-thunk', '-funbox-small-strict-fields', '-fcpr-anal', '-fno-state-hack', '-funbox-strict-fields', '-fworker-wrapper', '-fvectorise', '-fmax-inline-alloc-size=128', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fexpose-all-unfoldings', '-fsimpl-tick-factor=100', '-fcall-arity', '-funfolding-use-threshold=60']",0.526,0,False
8,8191485d-1e8f-4ef5-a38a-2fc64abe896a,fast,"['-O0', '-O0', '-fenable-rewrite-rules', '-fmax-worker-args=10', '-fno-pre-inlining', '-funfolding-keeness-factor=1.5', '-fcmm-elim-common-blocks', '-fspecialise', '-funbox-small-strict-fields', '-fmax-simplifier-iterations=4', '-fregs-iterative', '-ffloat-in', '-fno-state-hack', '-fmax-inline-memcpy-insns=32', '-fstrictness', '-floopification', '-fdmd-tx-dict-sel', '-fspec-constr-threshold=2000']",0.517,0,False
9,7b457d7a-db87-4b2a-a5c1-6a19833c0160,fast,"['-O0', '-fenable-rewrite-rules', '-funbox-small-strict-fields', '-fno-state-hack', '-fmax-inline-memcpy-insns=32', '-fstrictness', '-fomit-yields', '-fmax-worker-args=10', '-fno-pre-inlining', '-funfolding-keeness-factor=1.5', '-fregs-graph', '-fdicts-strict', '-ffloat-in', '-floopification', '-fdmd-tx-dict-sel', '-fspec-constr-threshold=2000', '-O0', '-ffun-to-thunk', '-fcmm-elim-common-blocks', '-fspecialise', '-fmax-simplifier-iterations=4', '-fregs-iterative']",0.524,1,False
